season,season_id,sb_player_id,player_name,sb_opposition_id,opposition_team,sb_game_id,sb_competition_id,competition_text,venue,game_date,goals_for,goals_against,pl_goals,yellow_cards,red_cards
2021/22,154,128729,Jake Burton,1867,Northampton,tpg830464,4.0,League Two,A,2022-03-05,2,3,0,0,0
2021/22,154,18605,Peter Clarke,2737,Walsall,tpg830059,4.0,League Two,H,2021-08-07,1,0,0,0,0
2021/22,154,18605,Peter Clarke,1924,Oldham,tpg830627,60.0,EFL Cup,A,2021-08-10,2,2,0,0,0
2021/22,154,18605,Peter Clarke,2083,Port Vale,tpg830067,4.0,League Two,A,2021-08-14,0,0,0,0,0
2021/22,154,18605,Peter Clarke,2519,Swindon,tpg830082,4.0,League Two,A,2021-08-17,0,0,0,0,0
2021/22,154,18605,Peter Clarke,1824,Newport Co,tpg830095,4.0,League Two,H,2021-08-21,0,1,0,1,0
2021/22,154,18605,Peter Clarke,2263,Scunthorpe,tpg830104,4.0,League Two,A,2021-08-28,0,1,0,0,0
2021/22,154,18605,Peter Clarke,1190,Hartlepool,tpg830119,4.0,League Two,H,2021-09-04,1,0,0,1,0
2021/22,154,18605,Peter Clarke,2175,Rochdale,tpg830126,4.0,League Two,A,2021-09-11,0,1,0,0,0
2021/22,154,18605,Peter Clarke,7141,Leeds U21,tpg838131,70.0,Football League Trophy,H,2021-09-14,4,1,0,0,0
2021/22,154,18605,Peter Clarke,4880,Salford,tpg830143,4.0,League Two,H,2021-09-18,2,0,0,1,0
2021/22,154,18605,Peter Clarke,1048,Forest Green,tpg830146,4.0,League Two,A,2021-09-25,0,0,0,0,0
2021/22,154,18605,Peter Clarke,649,Crawley,tpg830167,4.0,League Two,H,2021-10-02,2,1,2,0,0
2021/22,154,18605,Peter Clarke,612,Colchester,tpg830178,4.0,League Two,H,2021-10-08,2,0,1,0,0
2021/22,154,18605,Peter Clarke,643,Carlisle,tpg830181,4.0,League Two,A,2021-10-16,1,0,0,0,0
2021/22,154,18605,Peter Clarke,1222,Harrogate,tpg830196,4.0,League Two,A,2021-10-19,2,2,0,0,0
2021/22,154,18605,Peter Clarke,1867,Northampton,tpg830214,4.0,League Two,H,2021-10-23,0,2,0,0,0
2021/22,154,18605,Peter Clarke,1723,Mansfield,tpg830222,4.0,League Two,A,2021-10-30,0,2,0,0,0
2021/22,154,18605,Peter Clarke,649,Crawley,tpg840348,58.0,FA Cup,A,2021-11-06,1,0,0,1,0
2021/22,154,18605,Peter Clarke,2496,Sutton Utd,tpg830238,4.0,League Two,H,2021-11-13,0,1,0,0,0
2021/22,154,18605,Peter Clarke,388,Bristol R,tpg830242,4.0,League Two,A,2021-11-20,2,2,0,0,0
2021/22,154,18605,Peter Clarke,234,Bradford,tpg830263,4.0,League Two,H,2021-11-23,2,1,0,0,0
2021/22,154,18605,Peter Clarke,1537,Leyton Orient,tpg840683,58.0,FA Cup,A,2021-12-04,0,4,0,0,0
2021/22,154,18605,Peter Clarke,1924,Oldham,tpg830285,4.0,League Two,A,2021-12-07,1,0,0,0,0
2021/22,154,18605,Peter Clarke,947,Exeter,tpg830291,4.0,League Two,A,2021-12-11,1,0,0,0,0
